ticker,from,to
ALL,0001-01-01,9999-12-30
IBM,0001-01-01,9999-12-30
CAG,1983-08-31,9999-12-30
HCP,2008-03-31,9999-12-30
TEL,2011-10-14,9999-12-30
HP,2010-02-26,9999-12-30
PKI,1985-05-31,9999-12-30
RDC,0001-01-01,2014-08-17
HCA,2015-01-27,9999-12-30
BDX,1972-09-30,9999-12-30
APD,1985-04-30,9999-12-30
MPC,2011-06-30,9999-12-30
AEP,0001-01-01,9999-12-30
NYT,0001-01-01,2010-12-16
VRSK,2015-10-07,9999-12-30
MRK,0001-01-01,9999-12-30
ECL,1989-01-31,9999-12-30
KMX,2010-06-28,9999-12-30
A,2000-06-05,9999-12-30
HLT,2017-06-19,9999-12-30
GGP,2013-12-10,9999-12-30
DHR,0001-01-01,9999-12-30
ABBV,2012-12-31,9999-12-30
VLO,0001-01-01,9999-12-30
AV,0001-01-01,2007-10-24
MAR,0001-01-01,9999-12-30
NEM,1969-06-30,9999-12-30
DISCK,2014-08-06,9999-12-30
WBA,1979-12-31,9999-12-30
CI,1976-06-30,9999-12-30
UA,2014-05-01,9999-12-30
CHK,0001-01-01,9999-12-30
BAC,1976-06-30,9999-12-30
FCX,0001-01-01,9999-12-30
TRV,2002-08-21,9999-12-30
KLAC,0001-01-01,9999-12-30
BS,0001-01-01,2000-12-04
SJM,2008-11-06,9999-12-30
SWY,0001-01-01,2015-01-26
Q,0001-01-01,2011-03-30
Q,2017-08-29,9999-12-30
TIE,0001-01-01,2012-12-20
FOSL,2012-04-03,2016-01-04
STI,1988-05-31,9999-12-30
DGX,2002-12-12,9999-12-30
NWL,1989-04-30,9999-12-30
GD,0001-01-01,9999-12-30
ALK,2016-05-13,9999-12-30
SGP,0001-01-01,2009-11-02
ORCL,1989-08-31,9999-12-30
SBR,0001-01-01,2007-03-29
AAPL,1982-11-30,9999-12-30
TWX,0001-01-01,9999-12-30
URBN,0001-01-01,2017-03-19
PNW,0001-01-01,9999-12-30
SYK,2000-12-12,9999-12-30
DRE,2017-07-26,9999-12-30
BF-B,1982-10-31,9999-12-30
UHS,2014-09-20,9999-12-30
TXT,1978-12-31,9999-12-30
PPG,0001-01-01,9999-12-30
ODP,0001-01-01,2010-12-16
C,1988-05-31,9999-12-30
PRGO,2011-12-16,9999-12-30
ARNC,1964-03-31,9999-12-30
VIAB,0001-01-01,9999-12-30
DOV,1985-10-31,9999-12-30
VMC,1999-06-30,9999-12-30
JBL,0001-01-01,2014-11-04
ALXN,2012-05-21,9999-12-30
MAS,1981-06-30,9999-12-30
LVLT,2014-11-05,9999-12-30
AAL,2015-03-23,9999-12-30
NKE,1988-11-30,9999-12-30
DUK,1976-06-30,9999-12-30
LO,2008-06-10,2015-06-10
QEP,2010-06-30,2015-06-30
TMK,1989-04-30,9999-12-30
HAS,1984-09-30,9999-12-30
SE,0001-01-01,2017-02-27
KSS,0001-01-01,9999-12-30
QCOM,0001-01-01,9999-12-30
PHM,1984-04-30,9999-12-30
BBY,1999-06-29,9999-12-30
UNM,1994-03-01,9999-12-30
SWN,0001-01-01,2017-04-03
ARE,2017-03-20,9999-12-30
BMS,0001-01-01,2014-12-04
CFG,2016-01-29,9999-12-30
ED,0001-01-01,9999-12-30
OI,0001-01-01,2016-12-01
AME,2013-09-20,9999-12-30
PM,2008-03-31,9999-12-30
PCP,0001-01-01,2016-01-31
EFX,1997-06-19,9999-12-30
