ticker,added
AKAM,12.07.2007
LUK,27.08.2007
MCHP,07.09.2007
ICE,26.09.2007
ANDV,27.09.2007
EXPE,02.10.2007
NBL,08.10.2007
EXPD,10.10.2007
JEC,26.10.2007
AMT,19.11.2007
RRC,21.12.2007
TSS,02.01.2008
HCP,31.03.2008
PM,31.03.2008
ISRG,02.06.2008
COG,23.06.2008
SNI,01.07.2008
MA,18.07.2008
DVA,31.07.2008
IVZ,21.08.2008
CF,27.08.2008
CRM,15.09.2008
HRS,22.09.2008
PXD,24.09.2008
APH,30.09.2008
FLS,02.10.2008
DPS,07.10.2008
NDAQ,22.10.2008
WEC,31.10.2008
SJM,06.11.2008
PBCT,13.11.2008
XRAY,14.11.2008
WYNN,14.11.2008
SRCL,19.11.2008
RSG,05.12.2008
EQT,19.12.2008
FLIR,02.01.2009
SCG,02.01.2009
IRM,06.01.2009
HCN,30.01.2009
HRL,04.03.2009
VTR,04.03.2009
ORLY,27.03.2009
FTI,05.06.2009
PWR,01.07.2009
WDC,01.07.2009
RHT,27.07.2009
FMC,19.08.2009
FAST,15.09.2009
PCLN,06.11.2009
ROST,21.12.2009
V,21.12.2009
ROP,23.12.2009
NRG,29.01.2010
BRK.B,16.02.2010
DISCA,01.03.2010
HP,01.03.2010
OKE,15.03.2010
CERN,30.04.2010
KMX,28.06.2010
CB,15.07.2010
JCI,27.08.2010
IR,17.11.2010
FFIV,20.12.2010
NFLX,20.12.2010
NFX,20.12.2010
EW,01.04.2011
BLK,04.04.2011
CMG,28.04.2011
MPC,01.07.2011
ACN,06.07.2011
MOS,26.09.2011
TEL,17.10.2011
XYL,01.11.2011
BWA,19.12.2011
DLTR,19.12.2011
PRGO,19.12.2011
TRIP,21.12.2011
CCI,14.03.2012
PSX,01.05.2012
ALXN,25.05.2012
KMI,25.05.2012
MNST,28.06.2012
LRCX,29.06.2012
STX,02.07.2012
LYB,05.09.2012
PNR,01.10.2012
MDLZ,02.10.2012
DG,03.12.2012
GRMN,12.12.2012
DLPH,24.12.2012
ABBV,31.12.2012
PVH,15.02.2013
REGN,01.05.2013
MAC,09.05.2013
KSU,24.05.2013
GM,06.06.2013
ZTS,21.06.2013
FOXA,01.07.2013
NLSN,09.07.2013
NWSA,01.08.2013
DAL,11.09.2013
AME,23.09.2013
VRTX,23.09.2013
KORS,13.11.2013
ALLE,02.12.2013
GGP,10.12.2013
ADS,23.12.2013
FB,23.12.2013
MHK,23.12.2013
TSCO,24.01.2014
ESS,02.04.2014
GOOGL,03.04.2014
NAVI,01.05.2014
UA,01.05.2014
AVGO,08.05.2014
XEC,21.06.2014
AMG,01.07.2014
MLM,02.07.2014
DISCK,07.08.2014
URI,20.09.2014
UHS,20.09.2014
LVLT,05.11.2014
RCL,05.12.2014
HCA,27.01.2015
SWKS,12.03.2015
HSIC,17.03.2015
EQIX,20.03.2015
